Series ID,Year,Period,Label,Value
EIUIR4,2018,M01,2018 Jan,106.8
EIUIR4,2018,M02,2018 Feb,107.3
EIUIR4,2018,M03,2018 Mar,107.3
EIUIR4,2018,M04,2018 Apr,107.4
EIUIR4,2018,M05,2018 May,107.6
EIUIR4,2018,M06,2018 Jun,107.3
EIUIR4,2018,M07,2018 Jul,107.6
EIUIR4,2018,M08,2018 Aug,107.5
EIUIR4,2018,M09,2018 Sep,107.5
EIUIR4,2018,M10,2018 Oct,107.3
EIUIR4,2018,M11,2018 Nov,107.3
EIUIR4,2018,M12,2018 Dec,107.4
EIUIR4,2019,M01,2019 Jan,107.1
EIUIR4,2019,M02,2019 Feb,107.4
EIUIR4,2019,M03,2019 Mar,107.1
EIUIR4,2019,M04,2019 Apr,106.9
EIUIR4,2019,M05,2019 May,106.8
EIUIR4,2019,M06,2019 Jun,106.8
EIUIR4,2019,M07,2019 Jul,107.0
EIUIR4,2019,M08,2019 Aug,107.0
EIUIR4,2019,M09,2019 Sep,107.0
EIUIR4,2019,M10,2019 Oct,106.8
EIUIR4,2019,M11,2019 Nov,106.7
EIUIR4,2019,M12,2019 Dec,106.8
EIUIR4,2020,M01,2020 Jan,106.8
EIUIR4,2020,M02,2020 Feb,106.8
EIUIR4,2020,M03,2020 Mar,106.5
EIUIR4,2020,M04,2020 Apr,106.4
EIUIR4,2020,M05,2020 May,106.4
EIUIR4,2020,M06,2020 Jun,106.6
EIUIR4,2020,M07,2020 Jul,106.8
EIUIR4,2020,M08,2020 Aug,107.0
EIUIR4,2020,M09,2020 Sep,107.0
EIUIR4,2020,M10,2020 Oct,106.9
EIUIR4,2020,M11,2020 Nov,106.9
EIUIR4,2020,M12,2020 Dec,107.0
EIUIR4,2021,M01,2021 Jan,107.0
EIUIR4,2021,M02,2021 Feb,107.0
EIUIR4,2021,M03,2021 Mar,107.1
EIUIR4,2021,M04,2021 Apr,107.2
EIUIR4,2021,M05,2021 May,107.5
EIUIR4,2021,M06,2021 Jun,107.8
EIUIR4,2021,M07,2021 Jul,108.0
EIUIR4,2021,M08,2021 Aug,108.2
EIUIR4,2021,M09,2021 Sep,108.5
EIUIR4,2021,M10,2021 Oct,108.6
EIUIR4,2021,M11,2021 Nov,108.9
EIUIR4,2021,M12,2021 Dec,109.4
EIUIR4,2022,M01,2022 Jan,109.8
EIUIR4,2022,M02,2022 Feb,110.2
EIUIR4,2022,M03,2022 Mar,110.5
EIUIR4,2022,M04,2022 Apr,110.5
EIUIR4,2022,M05,2022 May,110.4
EIUIR4,2022,M06,2022 Jun,110.0
EIUIR4,2022,M07,2022 Jul,110.2
EIUIR4,2022,M08,2022 Aug,110.3
EIUIR4,2022,M09,2022 Sep,110.1
EIUIR4,2022,M10,2022 Oct,110.0
EIUIR4,2022,M11,2022 Nov,109.8
EIUIR4,2022,M12,2022 Dec,109.9
EIUIR4,2023,M01,2023 Jan,110.0
EIUIR4,2023,M02,2023 Feb,110.5
EIUIR4,2023,M03,2023 Mar,110.2
EIUIR4,2023,M04,2023 Apr,110.3
EIUIR4,2023,M05,2023 May,110.4
EIUIR4,2023,M06,2023 Jun,110.1
EIUIR4,2023,M07,2023 Jul,109.8
EIUIR4,2023,M08,2023 Aug,109.8
EIUIR4,2023,M09,2023 Sep,109.8
EIUIR4,2023,M10,2023 Oct,109.5
EIUIR4,2023,M11,2023 Nov,109.5
EIUIR4,2023,M12,2023 Dec,109.4
EIUIR4,2024,M01,2024 Jan,110.6
EIUIR4,2024,M02,2024 Feb,111.0
EIUIR4,2024,M03,2024 Mar,110.7
