"Label (Grouping)","Madison County, Alabama!!Total!!Estimate","Madison County, Alabama!!Total!!Margin of Error","Madison County, Alabama!!Percent!!Estimate","Madison County, Alabama!!Percent!!Margin of Error","Madison County, Alabama!!Male!!Estimate","Madison County, Alabama!!Male!!Margin of Error","Madison County, Alabama!!Percent Male!!Estimate","Madison County, Alabama!!Percent Male!!Margin of Error","Madison County, Alabama!!Female!!Estimate","Madison County, Alabama!!Female!!Margin of Error","Madison County, Alabama!!Percent Female!!Estimate","Madison County, Alabama!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","33,799","±625","(X)","(X)","17,396","±406","(X)","(X)","16,403","±435","(X)","(X)"
"        Less than high school graduate","3,206","±1,002","9.5%","±2.9","1,764","±642","10.1%","±3.7","1,442","±666","8.8%","±4.0"
"        High school graduate (includes equivalency)","9,557","±1,786","28.3%","±5.3","5,654","±1,236","32.5%","±7.1","3,903","±976","23.8%","±5.9"
"        Some college or associate's degree","16,587","±1,982","49.1%","±6.0","8,009","±1,149","46.0%","±6.6","8,578","±1,361","52.3%","±8.6"
"        Bachelor's degree or higher","4,449","±1,045","13.2%","±3.0","1,969","±710","11.3%","±4.0","2,480","±1,009","15.1%","±6.0"
"    Population 25 years and over","252,672","±563","(X)","(X)","120,693","±620","(X)","(X)","131,979","±683","(X)","(X)"
"        Less than 9th grade","5,894","±1,149","2.3%","±0.5","2,580","±881","2.1%","±0.7","3,314","±776","2.5%","±0.6"
"        9th to 12th grade, no diploma","14,507","±2,550","5.7%","±1.0","8,673","±1,990","7.2%","±1.6","5,834","±1,231","4.4%","±0.9"
"        High school graduate (includes equivalency)","50,509","±3,398","20.0%","±1.3","22,688","±2,180","18.8%","±1.8","27,821","±2,321","21.1%","±1.8"
"        Some college, no degree","51,086","±3,900","20.2%","±1.5","22,216","±2,459","18.4%","±2.0","28,870","±2,498","21.9%","±1.9"
"        Associate's degree","20,747","±2,899","8.2%","±1.1","8,070","±1,679","6.7%","±1.4","12,677","±1,977","9.6%","±1.5"
"        Bachelor's degree","67,977","±4,094","26.9%","±1.6","33,188","±2,810","27.5%","±2.3","34,789","±2,852","26.4%","±2.2"
"        Graduate or professional degree","41,952","±3,563","16.6%","±1.4","23,278","±2,446","19.3%","±2.1","18,674","±2,315","14.1%","±1.7"
"        High school graduate or higher","232,271","±2,812","91.9%","±1.1","(X)","(X)","90.7%","±1.6","(X)","(X)","93.1%","±1.2"
"        Bachelor's degree or higher","109,929","±4,786","43.5%","±1.9","(X)","(X)","46.8%","±2.5","(X)","(X)","40.5%","±2.3"
"    Population 25 to 34 years","51,828","±852","(X)","(X)","26,022","±564","(X)","(X)","25,806","±536","(X)","(X)"
"        High school graduate or higher","47,770","±1,369","92.2%","±2.2","23,287","±1,122","89.5%","±3.6","24,483","±666","94.9%","±1.9"
"        Bachelor's degree or higher","20,593","±2,597","39.7%","±5.0","9,942","±1,615","38.2%","±6.0","10,651","±1,609","41.3%","±6.1"
"    Population 35 to 44 years","45,578","±1,171","(X)","(X)","22,283","±694","(X)","(X)","23,295","±783","(X)","(X)"
"        High school graduate or higher","42,849","±1,792","94.0%","±2.6","20,272","±1,382","91.0%","±5.1","22,577","±976","96.9%","±1.7"
"        Bachelor's degree or higher","21,595","±2,427","47.4%","±5.2","10,601","±1,709","47.6%","±7.4","10,994","±1,395","47.2%","±6.0"
"    Population 45 to 64 years","99,601","±1,137","(X)","(X)","48,232","±831","(X)","(X)","51,369","±899","(X)","(X)"
"        High school graduate or higher","93,067","±2,139","93.4%","±1.7","44,827","±1,326","92.9%","±2.4","48,240","±1,361","93.9%","±2.0"
"        Bachelor's degree or higher","47,266","±3,549","47.5%","±3.5","24,534","±1,964","50.9%","±4.2","22,732","±2,448","44.3%","±4.6"
"    Population 65 years and over","55,665","±907","(X)","(X)","24,156","±506","(X)","(X)","31,509","±757","(X)","(X)"
"        High school graduate or higher","48,585","±1,491","87.3%","±2.3","21,054","±1,024","87.2%","±3.8","27,531","±1,079","87.4%","±2.9"
"        Bachelor's degree or higher","20,475","±1,981","36.8%","±3.5","11,389","±1,313","47.1%","±5.1","9,086","±1,304","28.8%","±4.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","177,769","±1,436","(X)","(X)","86,965","±905","(X)","(X)","90,804","±902","(X)","(X)"
"        High school graduate or higher","166,833","±2,462","93.8%","±1.0","81,209","±1,797","93.4%","±1.7","85,624","±1,333","94.3%","±1.1"
"        Bachelor's degree or higher","83,216","±3,930","46.8%","±2.1","45,133","±2,381","51.9%","±2.6","38,083","±2,371","41.9%","±2.5"
