,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),,,,,,
,,2022,2018,,,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),
,    Population 25 years and over with earnings,"53,166","45,096",,,    Population 25 years and over with earnings,"45,096"
,        Less than high school graduate,"27,435","18,177",,,        Less than high school graduate,"18,177"
,        High school graduate (includes equivalency),"37,176","26,333",,,        High school graduate (includes equivalency),"26,333"
,        Some college or associate's degree,"38,569","31,915",,,        Some college or associate's degree,"31,915"
,        Bachelor's degree,"66,962","61,631",,,        Bachelor's degree,"61,631"
,        Graduate or professional degree,"101,175","91,115",,,        Graduate or professional degree,"91,115"
,,,,,,,
,,,,,,,
,MEDIAN EARNINGS,2018,2022,,,,
,    Population 25 years and over with earnings,"45,096","53,166",,,,
,        Less than high school graduate,"18,177","27,435",,,,
,        High school graduate (includes equivalency),"26,333","37,176",,,,
,        Some college or associate's degree,"31,915","38,569",,,,
,        Bachelor's degree,"61,631","66,962",,,,
,        Graduate or professional degree,"91,115","101,175",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2018,2022,,,,,
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,2018,2022,,,,,
    White alone,"177,769","187,024",,,,,
        High school graduate or higher,"166,833","177,048",,,,,
        Bachelor's degree or higher,"83,216","93,172",,,,,
"    White alone, not Hispanic or Latino","172,522","185,245",,,,,
        High school graduate or higher,"162,306","175,741",,,,,
        Bachelor's degree or higher,"80,901","92,569",,,,,
    Black alone,"56,416","62,777",,,,,
        High school graduate or higher,"49,877","55,495",,,,,
        Bachelor's degree or higher,"18,982","23,080",,,,,
    American Indian or Alaska Native alone,0,0,,,,,
        High school graduate or higher,0,0,,,,,
        Bachelor's degree or higher,0,0,,,,,
    Asian alone,"6,515","7,561",,,,,
        High school graduate or higher,"5,996","6,975",,,,,
        Bachelor's degree or higher,"3,989","4,612",,,,,
    Native Hawaiian and Other Pacific Islander alone,0,0,,,,,
        High school graduate or higher,0,0,,,,,
        Bachelor's degree or higher,0,0,,,,,
    Some other race alone,"3,677","4,172",,,,,
        High school graduate or higher,"2,505","3,855",,,,,
        Bachelor's degree or higher,461,"1,632",,,,,
    Two or more races,"7,506","14,477",,,,,
        High school graduate or higher,"6,300","12,727",,,,,
        Bachelor's degree or higher,"3,137","6,407",,,,,
    Hispanic or Latino Origin,"10,241","11,811",,,,,
        High school graduate or higher,"7,999","10,290",,,,,
        Bachelor's degree or higher,"3,313","4,054",,,,,
        High school graduate or higher,"6,300","12,727",,,,,
        Bachelor's degree or higher,"3,137","6,407",,,,,
    Hispanic or Latino Origin,"10,241","11,811",,,,,
        High school graduate or higher,"7,999","10,290",,,,,
        Bachelor's degree or higher,"3,313","4,054",,,,,
