Label (Grouping),"Madison County, Alabama!!Estimate","Madison County, Alabama!!Percent"
EMPLOYMENT STATUS,,
    Population 16 years and over,"296,893","296,893"
        In labor force,"187,943",63.30%
            Civilian labor force,"186,779",62.90%
                Employed,"176,976",59.60%
                Unemployed,"9,803",3.30%
OCCUPATION,,
    Civilian employed population 16 years and over,"176,976","176,976"
"        Management, business, science, and arts occupations","88,254",49.90%
        Service occupations,"24,760",14.00%
        Sales and office occupations,"35,537",20.10%
"        Natural resources, construction, and maintenance occupations","10,903",6.20%
"        Production, transportation, and material moving occupations","17,522",9.90%
INDUSTRY,,
    Civilian employed population 16 years and over,"176,976","176,976"
"        Agriculture, forestry, fishing and hunting, and mining",877,0.50%
        Construction,"7,835",4.40%
        Manufacturing,"20,870",11.80%
        Wholesale trade,"2,000",1.10%
        Retail trade,"19,174",10.80%
"        Transportation and warehousing, and utilities","5,314",3.00%
        Information,"3,655",2.10%
"        Finance and insurance, and real estate and rental and leasing","7,161",4.00%
"        Professional, scientific, and management, and administrative and waste management services","36,246",20.50%
"        Educational services, and health care and social assistance","38,767",21.90%
"        Arts, entertainment, and recreation, and accommodation and food services","12,264",6.90%
"        Other services, except public administration","6,214",3.50%
        Public administration,"16,599",9.40%
INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS),,
    Total households,"152,723","152,723"
"        Less than $10,000","9,579",6.30%
"        $10,000 to $14,999","7,011",4.60%
"        $15,000 to $24,999","14,145",9.30%
"        $25,000 to $34,999","11,746",7.70%
"        $35,000 to $49,999","18,897",12.40%
"        $50,000 to $74,999","27,302",17.90%
"        $75,000 to $99,999","18,329",12.00%
"        $100,000 to $149,999","22,249",14.60%
"        $150,000 to $199,999","12,671",8.30%
"        $200,000 or more","10,794",7.10%
        Median household income (dollars),"63,111",(X)
        Mean household income (dollars),"85,717",(X)
        With earnings,"118,857",77.80%
            Mean earnings (dollars),"86,425",(X)
        With Social Security,"41,904",27.40%
            Mean Social Security income (dollars),"20,269",(X)
        With retirement income,"33,748",22.10%
            Mean retirement income (dollars),"32,270",(X)
        With Supplemental Security Income,"7,445",4.90%
            Mean Supplemental Security Income (dollars),"9,440",(X)
        With cash public assistance income,"5,653",3.70%
            Mean cash public assistance income (dollars),"1,788",(X)
        With Food Stamp/SNAP benefits in the past 12 months,"15,969",10.50%
