Series ID,Year,Period,Label,Value
SMS01000000000000001,2018,M01,2018 Jan,2028.4
SMS01000000000000001,2018,M02,2018 Feb,2031.6
SMS01000000000000001,2018,M03,2018 Mar,2035.9
SMS01000000000000001,2018,M04,2018 Apr,2039.1
SMS01000000000000001,2018,M05,2018 May,2040.5
SMS01000000000000001,2018,M06,2018 Jun,2048.4
SMS01000000000000001,2018,M07,2018 Jul,2048.1
SMS01000000000000001,2018,M08,2018 Aug,2051.0
SMS01000000000000001,2018,M09,2018 Sep,2054.0
SMS01000000000000001,2018,M10,2018 Oct,2056.9
SMS01000000000000001,2018,M11,2018 Nov,2058.9
SMS01000000000000001,2018,M12,2018 Dec,2059.8
SMS01000000000000001,2019,M01,2019 Jan,2066.5
SMS01000000000000001,2019,M02,2019 Feb,2067.5
SMS01000000000000001,2019,M03,2019 Mar,2070.4
SMS01000000000000001,2019,M04,2019 Apr,2075.8
SMS01000000000000001,2019,M05,2019 May,2077.3
SMS01000000000000001,2019,M06,2019 Jun,2078.3
SMS01000000000000001,2019,M07,2019 Jul,2080.3
SMS01000000000000001,2019,M08,2019 Aug,2083.6
SMS01000000000000001,2019,M09,2019 Sep,2082.8
SMS01000000000000001,2019,M10,2019 Oct,2080.2
SMS01000000000000001,2019,M11,2019 Nov,2083.7
SMS01000000000000001,2019,M12,2019 Dec,2084.2
SMS01000000000000001,2020,M01,2020 Jan,2087.6
SMS01000000000000001,2020,M02,2020 Feb,2087.4
SMS01000000000000001,2020,M03,2020 Mar,2080.9
SMS01000000000000001,2020,M04,2020 Apr,1844.8
SMS01000000000000001,2020,M05,2020 May,1892.2
SMS01000000000000001,2020,M06,2020 Jun,1941.2
SMS01000000000000001,2020,M07,2020 Jul,1962.7
SMS01000000000000001,2020,M08,2020 Aug,1986.1
SMS01000000000000001,2020,M09,2020 Sep,1996.0
SMS01000000000000001,2020,M10,2020 Oct,2011.8
SMS01000000000000001,2020,M11,2020 Nov,2016.7
SMS01000000000000001,2020,M12,2020 Dec,2022.5
SMS01000000000000001,2021,M01,2021 Jan,2024.3
SMS01000000000000001,2021,M02,2021 Feb,2026.5
SMS01000000000000001,2021,M03,2021 Mar,2032.6
SMS01000000000000001,2021,M04,2021 Apr,2032.5
SMS01000000000000001,2021,M05,2021 May,2037.2
SMS01000000000000001,2021,M06,2021 Jun,2043.6
SMS01000000000000001,2021,M07,2021 Jul,2054.1
SMS01000000000000001,2021,M08,2021 Aug,2055.2
SMS01000000000000001,2021,M09,2021 Sep,2055.1
SMS01000000000000001,2021,M10,2021 Oct,2070.8
SMS01000000000000001,2021,M11,2021 Nov,2077.1
SMS01000000000000001,2021,M12,2021 Dec,2083.0
SMS01000000000000001,2022,M01,2022 Jan,2082.9
SMS01000000000000001,2022,M02,2022 Feb,2092.9
SMS01000000000000001,2022,M03,2022 Mar,2093.2
SMS01000000000000001,2022,M04,2022 Apr,2103.6
SMS01000000000000001,2022,M05,2022 May,2105.4
SMS01000000000000001,2022,M06,2022 Jun,2105.7
SMS01000000000000001,2022,M07,2022 Jul,2120.2
SMS01000000000000001,2022,M08,2022 Aug,2122.5
SMS01000000000000001,2022,M09,2022 Sep,2128.6
SMS01000000000000001,2022,M10,2022 Oct,2129.1
SMS01000000000000001,2022,M11,2022 Nov,2131.3
SMS01000000000000001,2022,M12,2022 Dec,2137.1
SMS01000000000000001,2023,M01,2023 Jan,2148.9
SMS01000000000000001,2023,M02,2023 Feb,2151.8
SMS01000000000000001,2023,M03,2023 Mar,2155.1
SMS01000000000000001,2023,M04,2023 Apr,2156.1
SMS01000000000000001,2023,M05,2023 May,2158.2
SMS01000000000000001,2023,M06,2023 Jun,2164.8
SMS01000000000000001,2023,M07,2023 Jul,2164.3
SMS01000000000000001,2023,M08,2023 Aug,2170.0
SMS01000000000000001,2023,M09,2023 Sep,2171.2
SMS01000000000000001,2023,M10,2023 Oct,2170.5
SMS01000000000000001,2023,M11,2023 Nov,2179.2
SMS01000000000000001,2023,M12,2023 Dec,2181.0
SMS01000000000000001,2024,M01,2024 Jan,2181.7
SMS01000000000000001,2024,M02,2024 Feb,2186.5
SMS01000000000000001,2024,M03,2024 Mar,2191.1
