Label (Grouping),"Madison County, Alabama!!Estimate","Madison County, Alabama!!Percent",,
EMPLOYMENT STATUS,,,,
    Population 16 years and over,"327,507","327,507",,
        In labor force,"214,297",65.40%,,
            Civilian labor force,"213,668",65.20%,,
                Employed,"204,714",62.50%,,
                Unemployed,"8,954",2.70%,,
OCCUPATION,,,,
    Civilian employed population 16 years and over,"204,714","204,714",,
"        Management, business, science, and arts occupations","105,668",51.60%,,
        Service occupations,"26,675",13.00%,,
        Sales and office occupations,"34,710",17.00%,,
"        Natural resources, construction, and maintenance occupations","12,366",6.00%,,
"        Production, transportation, and material moving occupations","25,295",12.40%,,
INDUSTRY,,,,
    Civilian employed population 16 years and over,"204,714","204,714",,
"        Agriculture, forestry, fishing and hunting, and mining","1,241",0.60%,,
        Construction,"9,453",4.60%,,
        Manufacturing,"26,957",13.20%,,
        Wholesale trade,"2,624",1.30%,,
        Retail trade,"22,112",10.80%,,
"        Transportation and warehousing, and utilities","8,581",4.20%,,
        Information,"2,802",1.40%,,
"        Finance and insurance, and real estate and rental and leasing","8,417",4.10%,,
"        Professional, scientific, and management, and administrative and waste management services","39,237",19.20%,,
"        Educational services, and health care and social assistance","37,982",18.60%,,
"        Arts, entertainment, and recreation, and accommodation and food services","16,766",8.20%,,
"        Other services, except public administration","9,116",4.50%,,
        Public administration,"19,426",9.50%,,
INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS),,,,
    Total households,"166,454","166,454",,
"        Less than $10,000","9,187",5.50%,,
"        $10,000 to $14,999","4,651",2.80%,,
"        $15,000 to $24,999","9,865",5.90%,,
"        $25,000 to $34,999","11,834",7.10%,,
"        $35,000 to $49,999","17,647",10.60%,,
"        $50,000 to $74,999","24,899",15.00%,,
"        $75,000 to $99,999","19,963",12.00%,,
"        $100,000 to $149,999","33,299",20.00%,,
"        $150,000 to $199,999","14,129",8.50%,,
"        $200,000 or more","20,980",12.60%,,
        Median household income (dollars),"80,123",(X),,
        Mean household income (dollars),"109,789",(X),,
        With earnings,"134,028",80.50%,,
            Mean earnings (dollars),"109,401",(X),,
        With Social Security,"44,965",27.00%,,
            Mean Social Security income (dollars),"22,733",(X),,
        With retirement income,"42,243",25.40%,,
            Mean retirement income (dollars),"40,118",(X),,
        With Supplemental Security Income,"6,795",4.10%,,
            Mean Supplemental Security Income (dollars),"11,090",(X),,
        With cash public assistance income,"2,370",1.40%,,
            Mean cash public assistance income (dollars),"2,267",(X),,
        With Food Stamp/SNAP benefits in the past 12 months,"12,104",7.30%,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
HEALTH INSURANCE COVERAGE,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
        In labor force:,"193,261","193,261",,(X)
            Employed:,"184,960","184,960",,(X)
                With health insurance coverage,"170,255",92.00%,,±1.4
                    With private health insurance,"165,371",89.40%,,±1.7
                    With public coverage,"13,070",7.10%,,±1.2
                No health insurance coverage,"14,705",8.00%,,±1.4
            Unemployed:,"8,301","8,301",,(X)
                With health insurance coverage,"5,227",63.00%,,±12.7
                    With private health insurance,"3,269",39.40%,,±11.1
                    With public coverage,"2,117",25.50%,,±8.7
                No health insurance coverage,"3,074",37.00%,,±12.7
