"Label (Grouping)","Madison County, Alabama!!Estimate","Madison County, Alabama!!Margin of Error","Madison County, Alabama!!Percent","Madison County, Alabama!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","327,507","±1,041","327,507","(X)"
"        In labor force","214,297","±4,249","65.4%","±1.3"
"            Civilian labor force","213,668","±4,294","65.2%","±1.3"
"                Employed","204,714","±4,798","62.5%","±1.5"
"                Unemployed","8,954","±2,056","2.7%","±0.6"
"            Armed Forces","629","±375","0.2%","±0.1"
"        Not in labor force","113,210","±4,403","34.6%","±1.3"
"    Civilian labor force","213,668","±4,294","213,668","(X)"
"        Unemployment Rate","(X)","(X)","4.2%","±1.0"
"    Females 16 years and over","166,772","±809","166,772","(X)"
"        In labor force","97,473","±3,375","58.4%","±2.1"
"            Civilian labor force","97,473","±3,375","58.4%","±2.1"
"                Employed","93,080","±3,496","55.8%","±2.1"
"    Own children of the householder under 6 years","27,486","±1,174","27,486","(X)"
"        All parents in family in labor force","17,113","±2,086","62.3%","±7.2"
"    Own children of the householder 6 to 17 years","53,360","±1,881","53,360","(X)"
"        All parents in family in labor force","37,052","±2,966","69.4%","±4.9"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","202,976","±4,682","202,976","(X)"
"        Car, truck, or van -- drove alone","152,528","±4,980","75.1%","±2.2"
"        Car, truck, or van -- carpooled","14,655","±2,991","7.2%","±1.5"
"        Public transportation (excluding taxicab)","555","±458","0.3%","±0.2"
"        Walked","1,521","±568","0.7%","±0.3"
"        Other means","3,782","±2,185","1.9%","±1.1"
"        Worked from home","29,935","±3,889","14.7%","±1.9"
"        Mean travel time to work (minutes)","22.1","±0.9","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","204,714","±4,798","204,714","(X)"
"        Management, business, science, and arts occupations","105,668","±5,005","51.6%","±2.0"
"        Service occupations","26,675","±3,035","13.0%","±1.5"
"        Sales and office occupations","34,710","±3,605","17.0%","±1.6"
"        Natural resources, construction, and maintenance occupations","12,366","±2,328","6.0%","±1.1"
"        Production, transportation, and material moving occupations","25,295","±3,583","12.4%","±1.7"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","204,714","±4,798","204,714","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","1,241","±691","0.6%","±0.3"
"        Construction","9,453","±1,774","4.6%","±0.9"
"        Manufacturing","26,957","±3,305","13.2%","±1.6"
"        Wholesale trade","2,624","±970","1.3%","±0.5"
"        Retail trade","22,112","±3,568","10.8%","±1.7"
"        Transportation and warehousing, and utilities","8,581","±1,956","4.2%","±0.9"
"        Information","2,802","±839","1.4%","±0.4"
"        Finance and insurance, and real estate and rental and leasing","8,417","±1,678","4.1%","±0.8"
"        Professional, scientific, and management, and administrative and waste management services","39,237","±3,613","19.2%","±1.7"
"        Educational services, and health care and social assistance","37,982","±3,798","18.6%","±1.7"
"        Arts, entertainment, and recreation, and accommodation and food services","16,766","±2,840","8.2%","±1.4"
"        Other services, except public administration","9,116","±1,535","4.5%","±0.7"
"        Public administration","19,426","±2,384","9.5%","±1.2"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","204,714","±4,798","204,714","(X)"
"        Private wage and salary workers","156,434","±5,278","76.4%","±1.7"
"        Government workers","37,907","±2,819","18.5%","±1.4"
"        Self-employed in own not incorporated business workers","9,266","±1,937","4.5%","±0.9"
"        Unpaid family workers","1,107","±803","0.5%","±0.4"
"INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","166,454","±2,050","166,454","(X)"
